city,perc_first_dose,vax_rate,active_cases,active,city_rank,city_code,city_eng,Geoname ID,Name,Alternate Names,lat,long,Feature Class,Feature Code,Country Code,Country Code 2,Admin1 Code,Admin2 Code,Admin3 Code,Admin4 Code,Population,Elevation,DIgital Elevation Model,Timezone,Modification date,Country,Coordinates,...22,city2
ג'ת,53.16,46.93,קטן מ-15,NA,2.3,628,JATT,294630,Jatt,"Gat Carmel,Gat Karmel,Jatt,Tel Gat,g't,ga't,jt‎,tl gt,גַ'ת,ג’ת,תל גת,جت‎",32.39843,35.03933,P,PPL,IL,NA,04,NA,NA,NA,11798,NA,119,Asia/Jerusalem,2020-04-23T00:00:00Z,Israel,"32.39843, 35.03933",NA,Jatt
בית ג'ן,54.93,47.55,קטן מ-15,NA,2.4,480,BEIT JANN,295523,Beit Jann,"Bayt Jann,Beit Jan,Beit Jann,Bet Dagan,byt g'n,byt j,בית ג’ן,بيت ج",32.96464,35.38152,P,PPL,IL,NA,03,NA,NA,NA,10002,NA,923,Asia/Jerusalem,2020-04-22T00:00:00Z,Israel,"32.96464, 35.38152",NA,Beit Jann
כאבול,47.92,43.41,קטן מ-15,NA,1.8,504,KABUL,294615,Kābūl,"Kabul,Kavul,Kābūl,kabwl,kbwl,kʼbwl,כאבול,כבול,كابول",32.86856,35.21171,P,PPL,IL,NA,03,NA,NA,NA,9497,NA,92,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"32.86856, 35.21171",NA,Kabul
כפר תבור,68.30,65.92,0,0.0,2,47,KEFAR TAVOR,294502,Kefar Tavor,"Kefar Tabor,Kefar Tavor,Kfar Tavor,Mas-ha,Mashah,kpr tbwr,כפר תבור",32.68655,35.42118,P,PPL,IL,NA,03,NA,NA,NA,2323,NA,118,Asia/Jerusalem,2012-01-18T00:00:00Z,Israel,"32.68655, 35.42118",NA,Kefar Tavor
סלמה,51.78,47.07,קטן מ-15,NA,2.4,1245,SALLAMA,386253,Sallama,"Sallama,slamt‎,slmh,wady slamh,wady slamt,סלמה,سلامة‎,وادي سلامة,وادي سلامه",32.89443,35.36931,P,PPL,IL,NA,03,NA,NA,NA,1800,NA,172,Asia/Jerusalem,2019-03-31T00:00:00Z,Israel,"32.89443, 35.36931",NA,Sallama
פסוטה,66.18,63.35,0,0.0,2,535,FASSUTA,295104,Fassūta,"Fassuta,Fassutah,Fassūta,Fassūṭā,Mafshatah,Mifshata,fswtt‎,mpsth,paswtah,pswth,מפשטה,פַסּוּטָה,פסוטה,فسوطة‎",33.04895,35.30893,P,PPL,IL,NA,03,NA,NA,NA,2985,NA,639,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"33.04895, 35.30893",NA,Fassuta
אום בטין,10.69,7.83,0,0.0,2.3,1358,UMM BATIN,12156429,Umm Batin,"am btyn‎;,ʼwm btyn,אום בטין,أم بطين‎;",31.27735,34.88246,P,PPL,IL,NA,01,NA,NA,NA,4093,NA,311,Asia/Jerusalem,2020-04-21T00:00:00Z,Israel,"31.27735, 34.88246",NA,Umm Batin
בית שאן,65.16,60.23,קטן מ-15,NA,3.2,9200,BET SHE'AN,295435,Bet She’an,"Beisan,Beisān,Beit She'an,Beit Shean,Beit-Shean,Beith Shean,Beith Sheān,Bejt-Shean,Besan,Bet Sche'an,Bet Sche’an,Bet She'an,Bet Shean,Bet She’an,Bet Sze'an,Bet Sze’an,Bete-Sea,Bete-Seã,Beth Shan,Beth Shean,Beït Shéan,Beït-Shéan,Scythopolis,Skythopolis,bysan,byt sʼn,Бейт-Шеан,בית שאן,بيسان",32.49728,35.49632,P,PPL,IL,NA,03,NA,NA,NA,16800,NA,-121,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"32.49728, 35.49632",NA,Bet She'an
אור יהודה,60.90,56.22,קטן מ-15,NA,2.9,2400,OR YEHUDA,293962,Or Yehuda,"Or Jehuda,Or Yehuda,Or Yehudah,Or Yehudà,Or-Jekhuda,Saqiya,Saqiyyah,Sāqiya,awr yhwda,oleuyehuda,or-iehuda,ʼwr yhwdh,Ор-Йехуда,אור יהודה,أور یهودا,اور یهودا,اور یہودا,ორ-იეჰუდა,オル・イェフダ,오르예후다",32.02923,34.85788,P,PPL,IL,NA,05,NA,NA,NA,30802,NA,33,Asia/Jerusalem,2017-07-05T00:00:00Z,Israel,"32.02923, 34.85788",NA,Or Yehuda
"בסמ""ה",50.52,45.04,קטן מ-15,NA,3,1326,BASMA,12156812,Basma,"bsmh,bsm\h,bsmt‎,בסמה,בסמ\ה,بسمة‎",32.52904,35.10059,P,PPL,IL,NA,04,NA,NA,NA,9779,NA,224,Asia/Jerusalem,2020-05-01T00:00:00Z,Israel,"32.52904, 35.10059",NA,Basma
חולון,62.83,59.82,41,2.1,0.9,6600,HOLON,294751,H̱olon,"Cholon,Holon,H̱olon,Jolon,Jolón,Kholon,hwlwn,Холон,חולון,حولون",32.01034,34.77918,P,PPL,IL,NA,05,NA,NA,NA,165787,NA,31,Asia/Jerusalem,2017-07-05T00:00:00Z,Israel,"32.01034, 34.77918",NA,Holon
אבטין,51.85,47.49,0,0.0,2,652,IBTIN,294661,Ibṭīn,"Beten,Ibtin,Ibṭin,Ibṭīn,אבטין",32.7615,35.11402,P,PPL,IL,NA,04,NA,NA,NA,2020,NA,93,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"32.7615, 35.11402",NA,Ibtin
נצרת,54.80,49.02,40,5.1,2.4,7300,NAZARETH,294098,Nazareth,"En Nasira,En Nāsira,Lungsod ng Nazaret,Naatsaret,Nasaret,Nasira,Nasıra,Natserat,Natseret,Natsrat,Natséret,Natzaret,Nazara,Nazare,Nazaret,Nazaretas,Nazareth,Nazareto,Nazaré,Nazerat,Nazzerat,Naẕerat,Naẕẕerat,Nātsrat,alnasrh,alnasrt,na sa lei,nacarettu,nasales,nasrh,nasrt,nasrہ,nasrە,nasyrat,nazare,nazarې,nsrt,ntsrat,nzrt,Ναζαρέτ,Назарет,נצרת,الناصرة,الناصره,نازارې,ناسرە,ناصرة,ناصره,ناصرہ,ناصيرات,نتسرات,ܢܨܪܬ,நாசரேத்து,ナザレ,拿撒勒,나사렛",32.70056,35.29722,P,PPLA,IL,NA,03,NA,NA,NA,64800,NA,504,Asia/Jerusalem,2019-07-10T00:00:00Z,Israel,"32.70056, 35.29722",NA,Nazareth
גבעת אבני,77.69,74.66,0,0.0,2.3,1293,GIV'AT AVNI,8140105,Giv‘at Avni,"Giv'at Avni,Giv`at Avni,Giv‘at Avni,gibeʻat ʼabeniy,גִּבְעַת אַבְנִי,גבעת אבני",32.77682,35.43747,P,PPL,IL,NA,03,NA,NA,NA,1976,NA,284,Asia/Jerusalem,2020-04-23T00:00:00Z,Israel,"32.77682, 35.43747",NA,Giv'at Avni
טבריה,54.63,50.79,קטן מ-15,NA,1.1,6700,TIBERIAS,293322,Tiberias,"Tabariya,Tabariyeh,Tabariyyah,Tabarīya,Tevarya,Tevaryā,Teverya,Tiberiada,Tiberiade,Tiberiades,Tiberiado,Tiberias,Tiberija,Tiberijada,Tiberijas,Tiberiya,Tiberiàs,Tiberiás,Tiberya,Tiberíades,Tibériade,Tiveriada,Tiveriáda,Tubaria,Tverija,Tverja,Tverya,Tyberiada,tbrya,tbryh,tbryt,ti bi li ya,tibeliaseu,tiberia,tiperiyu,Τιβεριάδα,Τιβεριάς,Тверия,Тверія,Тиберия,Тиберијада,טבריה,طبريا,طبرية,طبریه,طبریہ,திபேரியு,ტიბერია,Ṭabariyyah,ティベリア,提比里亞,티베리아스",32.79221,35.53124,P,PPL,IL,NA,03,NA,NA,NA,39790,NA,-140,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"32.79221, 35.53124",NA,Tiberias
ראשון לציון,66.30,63.36,25,1.0,0.2,8300,RISHON LEZIYYON,293703,Rishon LeẔiyyon,"Ayun Kara,Le Tsiyon,Le Tsīyōn,Richon le Sion,Rischon LeZion,Rishon Le Zion,Rishon LeTsiyyon,Rishon LeZion,Rishon LeZiyyon,Rishon Letsiyon,Rishon LeẔiyyon,Rishon Lsiyon,Rishon le Siyon,Rishon le Ziyon,Rishon-le-Cion,Risjon Letsion,Rison-Le-Ciono,Riszon le-Cijjon,Riŝon-Le-Ciono,`Uyun Qara,rʼswn lzywn,Ришон-ле-Цион,ראשון לציון,‘Uyūn Qāra",31.97102,34.78939,P,PPL,IL,NA,02,NA,NA,NA,220492,NA,56,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"31.97102, 34.78939",NA,Rishon LeZiyyon
טמרה,52.63,46.85,19,5.5,3.7,8900,TAMRA,293426,Tamra,"Tamra,Tamrah,Temarah,ta mu la,tamra,tmrh,tmrt,Тамра,טמרה,תמרה,طمرة,طمره,طمرہ,தம்ரா,ტამრა,塔姆拉",32.85301,35.1987,P,PPL,IL,NA,03,NA,NA,NA,25917,NA,92,Asia/Jerusalem,2019-03-30T00:00:00Z,Israel,"32.85301, 35.1987",NA,Tamra
זמר,53.07,46.89,קטן מ-15,NA,2.8,1290,ZEMER,8142386,Zemer,"Zemer,zmr,zmr‎,zymr‎,זמר,זמר‎,زيمر‎",32.36658,35.03312,P,PPL,IL,NA,02,NA,NA,NA,6940,NA,89,Asia/Jerusalem,2020-04-24T00:00:00Z,Israel,"32.36658, 35.03312",NA,Zemer
מבשרת ציון,68.62,65.51,קטן מ-15,NA,1.9,1015,MEVASSERET ZIYYON,294245,Mevasseret Ẕiyyon,"Ma'oz Tsiyon,Ma’oz Tsiyon,Mevaseret Zion,Mevasseret Ziyyon,Mevasseret Ẕiyyon,MevasseretTsiyyon,mbsrt zywn,מבשרת ציון",31.80186,35.15072,P,PPL,IL,NA,06,NA,NA,NA,24409,NA,711,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"31.80186, 35.15072",NA,Mevasseret Ziyyon
אכסאל,54.94,49.15,קטן מ-15,NA,2.1,478,IKSAL,294658,Iksāl,"Iksal,Iksāl,Kessulot,Kesulot,Kislot Tavor,aksal,aksal‎,kslwt tbwr,אכסל,כסלות תבור,إكسال‎,اكسال",32.68164,35.32365,P,PPL,IL,NA,03,NA,NA,NA,11398,NA,160,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"32.68164, 35.32365",NA,Iksal
רומת הייב,43.51,37.55,0,0.0,2,997,RUMAT HEIB,386194,Rumat Heib,"Rumat Heib,Rumat al-Heib,Rūmat Heib,rumt alhayb‎,rwmt hyb,rwmt ʼl-hyyb,רומת אל-הייב,רומת היב,رُمة الهـَيـْب‎",32.77802,35.30571,P,PPL,IL,NA,03,NA,NA,NA,1588,NA,221,Asia/Jerusalem,2020-05-01T00:00:00Z,Israel,"32.77802, 35.30571",NA,Rumat Heib
יבנה,58.39,54.99,קטן מ-15,NA,2.8,2660,YAVNE,293222,Yavné,"Jamnia,Javne,Javnė,Jawne,Kefar Yavne,Kfar Yavne,Kfar Yavneh,New Yavne,Yamnia,Yavne,Yavné,ya fu nei,yabeune,yabune,ybnh,Явне,יבנה,یبنه,ヤブネ,亞夫內,야브네",31.87808,34.73983,P,PPL,IL,NA,02,NA,NA,NA,31774,NA,37,Asia/Jerusalem,2017-11-10T00:00:00Z,Israel,"31.87808, 34.73983",NA,Yavne
אלעד,24.86,20.53,קטן מ-15,NA,2.3,1309,EL'AD,8428480,El‘ad,"El`ad,El‘ad,ʼlʻd,אלעד",32.04984,34.95382,P,PPL,IL,NA,02,NA,NA,NA,47866,NA,134,Asia/Jerusalem,2020-04-21T00:00:00Z,Israel,"32.04984, 34.95382",NA,El'ad
יד בנימין,41.73,38.93,קטן מ-15,NA,2,577,YAD BINYAMIN,293262,Yad Binyamin,"Merkaz Hanukhi,Merkaz H̱anukhi,Netiva,Yad Binyamin,mrkz hnwky,yad bineyamiyn,yd bnymyn,יַד בִּנְיָמִין,יד בנימין,מרכז חנוכי",31.7974,34.82083,P,PPL,IL,NA,02,NA,NA,NA,4175,NA,73,Asia/Jerusalem,2020-04-25T00:00:00Z,Israel,"31.7974, 34.82083",NA,Yad Binyamin
בת חפר,74.23,71.45,0,0.0,2,1319,BAT HEFER,8141252,Bat H̱efer,"Bat Hefer,Bat H̱efer,bat heper,bt hpr,בַּת חֵפֶר,בת חפר",32.33307,35.01272,P,PPL,IL,NA,02,NA,NA,NA,5342,NA,54,Asia/Jerusalem,2020-10-12T00:00:00Z,Israel,"32.33307, 35.01272",NA,Bat Hefer
זכרון יעקב,64.61,62.12,קטן מ-15,NA,1.4,9300,ZIKHRON YA'AQOV,293067,Zikhron Ya‘aqov,"Zamarin,Zammarin,Zammārīn,Zicron Jacob,Zikeron Ya`akob,Zikeron Ya‘akob,Zikhron,Zikhron Ya'akov,Zikhron Ya'aqov,Zikhron Ya`aqov,Zikhron Ya‘aqov,zikerwon yaʻaqob,זִכְרוֹן יַעֲקֹב,זכרון יעקב",32.56645,34.95628,P,PPL,IL,NA,04,NA,NA,NA,23075,NA,164,Asia/Jerusalem,2020-06-10T00:00:00Z,Israel,"32.56645, 34.95628",NA,Zikhron Ya'aqov
נופית,76.00,74.04,0,0.0,2,1284,NOFIT,8265522,Nofit,"Nofit,Pi Ner,nwopiyt,nwpyt,py nr,נוֹפִית,נופית,פי נר",32.76226,35.1477,P,PPL,IL,NA,04,NA,NA,NA,2672,NA,209,Asia/Jerusalem,2020-04-27T00:00:00Z,Israel,"32.76226, 35.1477",NA,Nofit
נאעורה,57.57,53.39,קטן מ-15,NA,4.1,524,NA'URA,294099,Nā‘ūra,": naʿwrt‎,: ناعورة‎,Na`ura,Na`urah,Naura,Na‘urah,Na‘ūra,Ne`oran,Ne‘oran,Nā‘ūra,naʻwrah,נָעוּרָה,נעורה",32.61403,35.39168,P,PPL,IL,NA,03,NA,NA,NA,2277,NA,113,Asia/Jerusalem,2020-04-27T00:00:00Z,Israel,"32.61403, 35.39168",NA,Na'ura
נעלה,49.89,47.36,0,0.0,2,3787,NA'ALE,8199389,Na'ale,"Naale,naʻaleh,נַעֲלֶה,נעלה",31.96236,35.06553,P,PPL,IL,IL,NA,NA,NA,NA,1035,420,392,Asia/Jerusalem,2020-04-28T00:00:00Z,Israel,"31.96236, 35.06553",NA,Na'ale
רמת גן,63.82,61.35,23,1.4,1.8,8600,RAMAT GAN,293788,Ramat Gan,"Gan,Ramat Gan,Ramat Ganas,Ramat Nkan,Ramat-Gan,Ramat-Qan,la ma gan,lamateugan,ramat-gani,rmat ghan,rmt ghan,rmt gn,Ραμάτ Γκαν,Рамат Ган,Рамат-Ган,רמת גן,رمات غان,رمت غان,رمت گن,რამათ-განი,ラマト・ガン,拉馬干,라마트간",32.08227,34.81065,P,PPL,IL,NA,05,NA,NA,NA,128095,NA,57,Asia/Jerusalem,2019-09-05T00:00:00Z,Israel,"32.08227, 34.81065",NA,Ramat Gan
הר אדר,73.88,71.69,0,0.0,2,3769,HAR ADAR,282582,Har Adar,"Har Adar,Khirbat Najm,Khirbat en Nijam,hr ʼdr,הר אדר",31.82754,35.13093,P,STLMT,IL,NA,06,NA,NA,NA,3300,880,866,Asia/Jerusalem,2018-12-03T00:00:00Z,Israel,"31.82754, 35.13093",NA,Har Adar
גדרה,56.97,54.28,קטן מ-15,NA,1,2550,GEDERA,295064,Gedera,"Gedera,Gederah,Guedera,Guederà,gai dai la,gdra,gdrh,gedela,ghdyra,Гедера,גדרה,غديرا,گدرا,盖代拉,게데라",31.81456,34.77998,P,PPL,IL,NA,02,NA,NA,NA,26217,NA,64,Asia/Jerusalem,2017-07-02T00:00:00Z,Israel,"31.81456, 34.77998",NA,Gedera
