municipal_status,code_of_locality,city,index_population_2017_1,index_value_2017_2,rank_2017_3,cluster_2017_4,rank_2015_3,cluster_2015_4,difference_cluster_2017_minus_cluster_2015,city_eng,perc_first_dose,perc_second_dose,active_cases,active_per_10000,city_rank,rank2017
0,6200,בת ים,128333.4166986763,-0.02444173053421453,122,5,121,5,0,BAT YAM,64.24,60.44,33,2.6,1.2,5
0,2100,טירת כרמל,21158.080678083814,-0.020399778511594073,123,5,118,5,0,TIRAT KARMEL,64.17,61.11,NA,NA,1.9,5
78,NA,הר חברון,8344.616402939395,-0.015569901195811132,124,5,112,5,0,HAR HEVRON,NA,NA,NA,NA,NA,5
0,7100,אשקלון,137282.36863545302,-0.014441984831174887,125,5,123,5,0,ASHQELON,59.71,56.01,33,2.3,1.3,5
73,NA,מטה בנימין,65438.15721846329,-0.007481640775950678,126,5,116,5,0,MATTE BINYAMIN,NA,NA,NA,NA,NA,5
0,1020,אור עקיבא,17737.515317045018,1.9819257092778663e-4,127,5,125,5,0,OR AQIVA,61.92,57.97,NA,NA,3.7,5
0,9600,קריית ים,39515.381588440345,0.002170474642985268,128,5,124,5,0,QIRYAT YAM,NA,NA,NA,NA,NA,5
99,1247,חריש,3581.9122646828155,0.03219529164595262,129,5,79,3,2,HARISH,38.93,36.3,NA,NA,2.2,5
0,9000,באר שבע,205316.06170768445,0.03929799733055273,130,5,134,5,0,BE'ER SHEVA,65.09,61.02,93,4.4,1.7,5
0,1063,מעלות-תרשיחא,21221.850426836256,0.04178687084438838,131,5,130,5,0,MA'ALOT-TARSHIHA,64.04,60.62,NA,NA,2,5
53,NA,חבל אילות,4144.69192638576,0.046884875445089264,132,5,129,5,0,HEVEL ELOT,NA,NA,NA,NA,NA,5
2,NA,מרום הגליל,14191.759329477893,0.06297049201833263,133,5,135,5,0,MEROM HAGALIL,NA,NA,NA,NA,NA,5
12,NA,זבולון,12704.71571881044,0.0630495604983117,134,5,140,6,-1,ZEVULUN,NA,NA,NA,NA,NA,5
99,3557,קדומים,4480.748666792012,0.08649008794727574,135,5,132,5,0,QEDUMIM,54.03,51.45,0,0,2,5
0,2400,אור יהודה,36576.68689075398,0.11967748705139193,136,5,142,6,-1,OR YEHUDA,60.9,56.22,NA,NA,2.9,5
99,65,מגדל,1766.8435658711935,0.12452153157969889,137,5,131,5,0,MIGDAL,NA,NA,NA,NA,NA,5
99,1066,"בני עי""ש",6997.75655552827,0.1315628979287417,138,5,139,5,0,BENE AYISH,63.31,60.03,0,0,2,5
99,469,קריית עקרון,10908.895586563352,0.137844417674351,139,5,143,6,-1,QIRYAT EQRON,NA,NA,NA,NA,NA,5
39,NA,שדות נגב,10267.07035297239,0.17089540510079423,140,5,136,5,0,SEDOT NEGEV,NA,NA,NA,NA,NA,5
99,812,שלומי,6121.436470873826,0.1880307855610596,141,5,150,6,-1,SHELOMI,62.53,59.72,0,0,2,5
0,7400,נתניה,213003.75104835015,0.2069493443311853,142,6,147,6,0,NETANYA,59.07,55.58,60,2.7,1.1,6
42,NA,מרחבים,13678.208134696612,0.2145356786340237,143,6,141,6,0,MERHAVIM,NA,NA,NA,NA,NA,6
99,508,כפר כמא,3284.223904164276,0.2232231699790595,144,6,138,5,1,KAFAR KAMA,64.58,61.51,0,0,2,6
71,NA,גולן,16952.366359534204,0.23292987408573596,145,6,156,6,0,GOLAN,NA,NA,NA,NA,NA,6
0,6800,קריית אתא,57106.90735144723,0.24500779450520488,146,6,151,6,0,QIRYAT ATTA,NA,NA,NA,NA,NA,6
76,NA,גוש עציון,23496.125499564554,0.24641634198910708,147,6,137,5,1,GUSH EZYON,NA,NA,NA,NA,NA,6
0,2600,אילת,50692.576586235125,0.24736963508393703,148,6,154,6,0,ELAT,65.85,62.07,22,4.2,1.7,6
40,NA,עמק לוד,14845.312973135275,0.2549037934802032,149,6,146,6,0,EMEQ LOD,NA,NA,NA,NA,NA,6
0,6500,חדרה,93331.93278067851,0.26785364323226435,150,6,152,6,0,HADERA,60.85,57.54,NA,NA,0.2,6
99,3640,קרני שומרון,7369.235431097951,0.280344514185486,151,6,149,6,0,QARNE SHOMERON,54.36,51.61,NA,NA,2.1,6
7,NA,עמק המעיינות,12817.538202356574,0.28467673960904555,152,6,148,6,0,EMEQ HAMA'AYANOT,NA,NA,NA,NA,NA,6
72,NA,שומרון,41055.66634336506,0.28576717486159164,153,6,144,6,0,SHOMERON,NA,NA,NA,NA,NA,6
0,1139,כרמיאל,45843.746860738414,0.29998892802766264,154,6,153,6,0,KARMI'EL,67.46,64.49,NA,NA,0.7,6
99,535,פסוטה,3097.892026602519,0.30558567419797206,155,6,145,6,0,FASSUTA,66.18,63.35,0,0,2,6
0,9100,נהרייה,55938.46004002834,0.3305788917213236,156,6,163,6,0,NAHARIYYA,NA,NA,NA,NA,NA,6
0,3616,מעלה אדומים,37737.36380944674,0.35498865025020665,157,6,157,6,0,MA'ALE ADUMMIM,63.67,60.16,NA,NA,2.6,6
0,3570,אריאל,19625.537941663686,0.3602649409331445,158,6,162,6,0,ARI'EL,58.47,55.55,NA,NA,2.3,6
38,NA,אשכול,13813.549823211184,0.36286262143768483,159,6,158,6,0,ESHKOL,NA,NA,NA,NA,NA,6
48,NA,רמת הנגב,7163.905399047821,0.3689537169610931,160,6,155,6,0,RAMAT NEGEV,NA,NA,NA,NA,NA,6
99,487,ג'ש (גוש חלב),3085.1179796013557,0.41907374066293956,161,6,159,6,0,JISH(GUSH HALAV),60.99,57.05,NA,NA,3.6,6
99,41,אליכין,3483.3374466178443,0.4204337918952772,162,6,160,6,0,ELYAKHIN,63.3,60.07,0,0,2.5,6
6,NA,עמק הירדן,13490.215890069778,0.43240648994223324,163,6,161,6,0,EMEQ HAYARDEN,NA,NA,NA,NA,NA,6
75,NA,ערבות הירדן,4857.4682625237,0.4427970387375558,164,6,165,6,0,ARVOT HAYARDEN,NA,NA,NA,NA,NA,6
0,6600,חולון,192385.21523330937,0.48236522159215545,165,7,169,7,0,HOLON,62.83,59.82,41,2.1,0.9,7
0,9500,קריית ביאליק,39582.22441367566,0.5077969559049714,166,7,170,7,0,QIRYAT BIALIK,NA,NA,NA,NA,NA,7
51,NA,תמר,1455.9416244094598,0.5151275198001736,167,7,166,6,1,TAMAR,NA,NA,NA,NA,NA,7
0,2660,יבנה,45482.67757696679,0.524052046454579,168,7,173,7,0,YAVNE,58.39,54.99,NA,NA,2.8,7
0,4000,חיפה,279633.62787518156,0.5416232774727474,169,7,171,7,0,HAIFA,65.41,62.33,64,2.2,1.2,7
13,NA,מגידו,11511.255924879528,0.556612494371213,170,7,177,7,0,MEGIDDO,NA,NA,NA,NA,NA,7
99,3650,אפרת,9115.617836171332,0.5567104775522554,171,7,164,6,1,EFRAT,58.41,55.34,NA,NA,3.4,7
50,NA,לכיש,11401.126873114383,0.5595882313231355,172,7,167,6,1,LAKHISH,NA,NA,NA,NA,NA,7
3,NA,הגליל התחתון,12097.401059708738,0.5615551226314643,173,7,172,7,0,HAGALIL HATAHTON,NA,NA,NA,NA,NA,7
1,NA,הגליל העליון,17626.109435510825,0.5820825280781603,174,7,168,6,1,HAGALIL HAELYON,NA,NA,NA,NA,NA,7
14,NA,מנשה,18990.33921841878,0.5904187387775626,175,7,176,7,0,MENASHE,NA,NA,NA,NA,NA,7
0,8200,קריית מוצקין,41439.71042837724,0.5907096347900875,176,7,175,7,0,QIRYAT MOTZKIN,NA,NA,NA,NA,NA,7
99,565,אזור,12567.573219185551,0.592796212706079,177,7,183,7,0,AZOR,56.69,53.7,NA,NA,1.9,7
4,NA,מטה אשר,28349.632182706348,0.6156444760470301,178,7,174,7,0,MATTE ASHER,NA,NA,NA,NA,NA,7
99,466,בית דגן,7143.2969069358205,0.6326604702674135,179,7,184,7,0,BET DAGAN,60.61,57.6,NA,NA,2.2,7
36,NA,חוף אשקלון,17005.01502811445,0.640490590127331,180,7,178,7,0,HOF ASHQELON,NA,NA,NA,NA,NA,7
0,7900,פתח תקווה,239003.46643696108,0.6482917408050098,181,7,182,7,0,PETAH TIQWA,62.87,59.43,65,2.6,2.2,7
0,8400,רחובות,138091.72560926768,0.6559468565456084,182,7,181,7,0,REHOVOT,59.15,56.18,24,1.6,1.3,7
99,26,ראש פינה,3061.227787564132,0.6694394909108926,183,7,199,7,0,ROSH PINNA,60.53,58.06,NA,NA,2.5,7
99,7800,פרדס חנה-כרכור,40537.268268664775,0.6949186178847494,184,7,186,7,0,PARDES HANNA-KARKUR,57.76,55.15,NA,NA,2.3,7
0,2640,ראש העין,50061.07773271366,0.7004707124070141,185,7,180,7,0,ROSH HAAYIN,57.5,54.6,NA,NA,2,7
0,2500,נשר,23749.2798079232,0.7158902649005088,186,7,189,7,0,NESHER,66.06,63.39,NA,NA,2.5,7
26,NA,מטה יהודה,55618.42015431446,0.734000075643023,187,7,185,7,0,MATTE YEHUDA,NA,NA,NA,NA,NA,7
74,NA,מגילות ים המלח,1528.3071676378115,0.7449145266141732,188,7,188,7,0,MEGILLOT DEAD SEA,NA,NA,NA,NA,NA,7
56,NA,משגב,27834.338423926594,0.7468335869896998,189,7,190,7,0,MISGAV,NA,NA,NA,NA,NA,7
99,2550,גדרה,27062.082354772538,0.7529954589350436,190,7,187,7,0,GEDERA,56.97,54.28,NA,NA,1,7
99,166,גן יבנה,23455.683997280412,0.7606532149146541,191,7,193,7,0,GAN YAVNE,63.21,60.17,NA,NA,1.3,7
99,2530,באר יעקב,22667.032254834434,0.7616738365673803,192,7,191,7,0,BE'ER YA'AQOV,52.65,49.58,NA,NA,1.8,7
99,518,מעיליא,3081.2630271469925,0.7622860782005019,193,7,179,7,0,MI'ELYA,60.37,56.27,NA,NA,2,7
52,NA,מעלה יוסף,10398.497285776224,0.772404834427518,194,7,195,7,0,MA'ALE YOSEF,NA,NA,NA,NA,NA,7
0,168,כפר יונה,22505.020807296994,0.7763957171854569,195,7,197,7,0,KEFAR YONA,57.54,55.2,NA,NA,1.5,7
0,8300,ראשון לציון,249148.12098874472,0.8025299096271193,196,7,200,7,0,RISHON LEZIYYON,66.3,63.36,25,1,0.2,7
55,NA,מבואות החרמון,7192.085993559614,0.8126413413930517,197,7,205,7,0,MEVO'OT HAHERMON,NA,NA,NA,NA,NA,7
0,240,יקנעם עילית,22745.833474276045,0.8399895667147977,198,7,196,7,0,YOQNE'AM ILLIT,65.16,62.64,NA,NA,2.4,7
41,NA,בני שמעון,10024.954765205417,0.8445691293621733,199,7,192,7,0,BENE SHIM'ON,NA,NA,NA,NA,NA,7
33,NA,באר טוביה,22994.471051719574,0.8584190507046495,200,7,201,7,0,BE'ER TUVEYA,NA,NA,NA,NA,NA,7
25,NA,חבל מודיעין,23395.445815626274,0.8659381017094484,201,7,202,7,0,HEVEL MODI'IN,NA,NA,NA,NA,NA,7
54,NA,הערבה התיכונה,3256.732194507405,0.8848333533608087,202,7,194,7,0,HAARAVA HATIKHONA,NA,NA,NA,NA,NA,7
